Company Name,Sector,Stage,Investment Amount,Investment Type,Investment Date,Founder Name,Founder Email,Quarter,Type,Revenue,Burn,Traction,Runway Months,Narrative Good,Narrative Bad,Narrative Help
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,1,FORECAST,48488.90571,93327.02494,910.8121346,,,,
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,2,FORECAST,58918.43883,99866.97221,1203.691895,,,,
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,3,FORECAST,73160.51398,105139.3111,1933.503434,,,,
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,4,FORECAST,94271.6603,115422.2882,2910.068103,,,,
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,5,FORECAST,231620.1107,115941.325,3034.631865,,,,
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,6,FORECAST,211959.4753,134574.8067,5593.186935,,,,
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,7,FORECAST,291547.4256,150195.3099,5607.687374,,,,
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,8,FORECAST,353294.891,133262.3031,21680.24318,,,,
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,1,ACTUAL,47270.7151,113567.8356,887.9297294,6.969688662,Strong customer acquisition,Higher than expected burn,Need help with hiring
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,2,ACTUAL,62698.43247,91566.11506,1280.916408,6.634792069,Strong customer acquisition,Higher than expected burn,Need help with hiring
AutoML Systems,AI/ML,Pre-Seed,2387278.183,SAFE,01/12/2024,Founder 13,founder13@automlsystems.com,3,ACTUAL,67662.00598,132710.0843,1788.187559,9.66748998,Strong customer acquisition,Higher than expected burn,Need help with hiring
AutoML Systems,AI/ML,Pre-Seed,2172597.811,SAFE,30/06/2024,Founder 13,founder13@automlsystems.com,1,FORECAST,34178.72036,83590.72954,145.1262173,,,,
AutoML Systems,AI/ML,Pre-Seed,2172597.811,SAFE,30/06/2024,Founder 13,founder13@automlsystems.com,2,FORECAST,48171.17922,92030.63649,240.1823964,,,,
AutoML Systems,AI/ML,Pre-Seed,2172597.811,SAFE,30/06/2024,Founder 13,founder13@automlsystems.com,3,FORECAST,72367.77689,97922.57644,332.0444758,,,,
AutoML Systems,AI/ML,Pre-Seed,2172597.811,SAFE,30/06/2024,Founder 13,founder13@automlsystems.com,4,FORECAST,93766.96834,120269.7175,553.5815039,,,,
AutoML Systems,AI/ML,Pre-Seed,2172597.811,SAFE,30/06/2024,Founder 13,founder13@automlsystems.com,5,FORECAST,128916.34,129925.8484,899.3584362,,,,
AutoML Systems,AI/ML,Pre-Seed,2172597.811,SAFE,30/06/2024,Founder 13,founder13@automlsystems.com,6,FORECAST,120982.6878,154707.2724,1646.349257,,,,
AutoML Systems,AI/ML,Pre-Seed,2172597.811,SAFE,30/06/2024,Founder 13,founder13@automlsystems.com,7,FORECAST,154534.1113,173045.6867,790.4216925,,,,
AutoML Systems,AI/ML,Pre-Seed,2172597.811,SAFE,30/06/2024,Founder 13,founder13@automlsystems.com,8,FORECAST,522368.7599,139558.8586,1551.747766,,,,
AutoML Systems,AI/ML,Pre-Seed,2172597.811,SAFE,30/06/2024,Founder 13,founder13@automlsystems.com,1,ACTUAL,39680.12633,100807.5817,168.4857296,11.06628157,Strong customer acquisition,Higher than expected burn,Need help with hiring
AutoML Systems,AI/ML,Pre-Seed,2172597.811,SAFE,30/06/2024,Founder 13,founder13@automlsystems.com,2,ACTUAL,35849.88523,120803.3904,178.7481952,11.33613439,Strong customer acquisition,Higher than expected burn,Need help with hiring
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,1,FORECAST,13510.4323,66954.21782,813.9000354,,,,
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,2,FORECAST,19235.96105,70556.38589,1346.453139,,,,
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,3,FORECAST,20195.7582,77078.5496,1733.789522,,,,
AutoML Systems,AI/ML,Pre-Seed,963894.4223,SAFE,01/11/2024,Founder 13,founder13@automlsystems.com,4,FORECAST,39026.84354,96646.59923,1848.648423,,,,
